Point,Output,Nominal,Pass/Fail
122,Vdd_col,625e-3,
122,BLB_Vdd,-50e-3,
122,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-37.5m",,,
123,Vdd_col,625e-3,
123,BLB_Vdd,-37.5e-3,
123,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-25m",,,
124,Vdd_col,625e-3,
124,BLB_Vdd,-25e-3,
124,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-12.5m",,,
125,Vdd_col,625e-3,
125,BLB_Vdd,-12.5e-3,
125,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=79.8a",,,
126,Vdd_col,625e-3,
126,BLB_Vdd,79.8e-18,
126,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-250m",,,
127,Vdd_col,650e-3,
127,BLB_Vdd,-250e-3,
127,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-237.5m",,,
128,Vdd_col,650e-3,
128,BLB_Vdd,-237.5e-3,
128,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-225m",,,
129,Vdd_col,650e-3,
129,BLB_Vdd,-225e-3,
129,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-212.5m",,,
130,Vdd_col,650e-3,
130,BLB_Vdd,-212.5e-3,
130,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-200m",,,
131,Vdd_col,650e-3,
131,BLB_Vdd,-200e-3,
131,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-187.5m",,,
132,Vdd_col,650e-3,
132,BLB_Vdd,-187.5e-3,
132,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-175m",,,
133,Vdd_col,650e-3,
133,BLB_Vdd,-175e-3,
133,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-162.5m",,,
134,Vdd_col,650e-3,
134,BLB_Vdd,-162.5e-3,
134,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-150m",,,
135,Vdd_col,650e-3,
135,BLB_Vdd,-150e-3,
135,Pass,1,
"Parameters: Vdd_col=650m, BLB_Vdd=-137.5m",,,
136,Vdd_col,650e-3,
