Point,Output,Nominal,Pass/Fail
184,PW,9e-12,
184,Pass,0,
"Parameters: PW=9p, Vdd_main=1.03",,,
185,Vdd_col,1.03,
185,PW,9e-12,
185,Pass,0,
"Parameters: PW=9p, Vdd_main=1.035",,,
186,Vdd_col,1.035,
186,PW,9e-12,
186,Pass,0,
"Parameters: PW=9p, Vdd_main=1.04",,,
187,Vdd_col,1.04,
187,PW,9e-12,
187,Pass,0,
"Parameters: PW=9p, Vdd_main=1.045",,,
188,Vdd_col,1.045,
188,PW,9e-12,
188,Pass,0,
"Parameters: PW=9p, Vdd_main=1.05",,,
189,Vdd_col,1.05,
189,PW,9e-12,
189,Pass,0,
"Parameters: PW=10p, Vdd_main=950m",,,
190,Vdd_col,950e-3,
190,PW,10e-12,
190,Pass,0,
"Parameters: PW=10p, Vdd_main=955m",,,
191,Vdd_col,955e-3,
191,PW,10e-12,
191,Pass,0,
"Parameters: PW=10p, Vdd_main=960m",,,
192,Vdd_col,960e-3,
192,PW,10e-12,
192,Pass,0,
"Parameters: PW=10p, Vdd_main=965m",,,
193,Vdd_col,965e-3,
193,PW,10e-12,
193,Pass,0,
"Parameters: PW=10p, Vdd_main=970m",,,
194,Vdd_col,970e-3,
194,PW,10e-12,
194,Pass,0,
"Parameters: PW=10p, Vdd_main=975m",,,
195,Vdd_col,975e-3,
195,PW,10e-12,
195,Pass,0,
"Parameters: PW=10p, Vdd_main=980m",,,
196,Vdd_col,980e-3,
196,PW,10e-12,
196,Pass,0,
"Parameters: PW=10p, Vdd_main=985m",,,
197,Vdd_col,985e-3,
197,PW,10e-12,
197,Pass,0,
"Parameters: PW=10p, Vdd_main=990m",,,
198,Vdd_col,990e-3,
198,PW,10e-12,
198,Pass,0,
"Parameters: PW=10p, Vdd_main=995m",,,
199,Vdd_col,995e-3,
199,PW,10e-12,
199,Pass,0,
"Parameters: PW=10p, Vdd_main=1",,,
200,Vdd_col,1,
200,PW,10e-12,
200,Pass,0,
"Parameters: PW=10p, Vdd_main=1.005",,,
201,Vdd_col,1.005,
201,PW,10e-12,
201,Pass,0,
"Parameters: PW=10p, Vdd_main=1.01",,,
202,Vdd_col,1.01,
202,PW,10e-12,
202,Pass,0,
"Parameters: PW=10p, Vdd_main=1.015",,,
203,Vdd_col,1.015,
203,PW,10e-12,
203,Pass,0,
"Parameters: PW=10p, Vdd_main=1.02",,,
204,Vdd_col,1.02,
204,PW,10e-12,
204,Pass,0,
"Parameters: PW=10p, Vdd_main=1.025",,,
205,Vdd_col,1.025,
205,PW,10e-12,
205,Pass,0,
"Parameters: PW=10p, Vdd_main=1.03",,,
206,Vdd_col,1.03,
206,PW,10e-12,
206,Pass,0,
"Parameters: PW=10p, Vdd_main=1.035",,,
207,Vdd_col,1.035,
207,PW,10e-12,
207,Pass,0,
"Parameters: PW=10p, Vdd_main=1.04",,,
208,Vdd_col,1.04,
208,PW,10e-12,
208,Pass,0,
"Parameters: PW=10p, Vdd_main=1.045",,,
209,Vdd_col,1.045,
209,PW,10e-12,
209,Pass,0,
"Parameters: PW=10p, Vdd_main=1.05",,,
210,Vdd_col,1.05,
210,PW,10e-12,
210,Pass,0,
"Parameters: PW=11p, Vdd_main=950m",,,
211,Vdd_col,950e-3,
211,PW,11e-12,
211,Pass,0,
"Parameters: PW=11p, Vdd_main=955m",,,
212,Vdd_col,955e-3,
212,PW,11e-12,
212,Pass,0,
"Parameters: PW=11p, Vdd_main=960m",,,
213,Vdd_col,960e-3,
213,PW,11e-12,
