Point,Output,Nominal,Pass/Fail
158,BLB_Vdd,-125e-3,
158,PW,8e-12,
158,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-112.5m",,,
159,BLB_Vdd,-112.5e-3,
159,PW,8e-12,
159,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-100m",,,
160,BLB_Vdd,-100e-3,
160,PW,8e-12,
160,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-87.5m",,,
161,BLB_Vdd,-87.5e-3,
161,PW,8e-12,
161,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-75m",,,
162,BLB_Vdd,-75e-3,
162,PW,8e-12,
162,Pass,0,
"Parameters: PW=8p, BLB_Vdd=-62.5m",,,
163,BLB_Vdd,-62.5e-3,
163,PW,8e-12,
163,Pass,0,
"Parameters: PW=8p, BLB_Vdd=-50m",,,
164,BLB_Vdd,-50e-3,
164,PW,8e-12,
164,Pass,0,
"Parameters: PW=8p, BLB_Vdd=-37.5m",,,
165,BLB_Vdd,-37.5e-3,
165,PW,8e-12,
165,Pass,0,
"Parameters: PW=8p, BLB_Vdd=-25m",,,
166,BLB_Vdd,-25e-3,
166,PW,8e-12,
166,Pass,0,
"Parameters: PW=8p, BLB_Vdd=-12.5m",,,
167,BLB_Vdd,-12.5e-3,
167,PW,8e-12,
167,Pass,0,
"Parameters: PW=8p, BLB_Vdd=79.8a",,,
168,BLB_Vdd,79.8e-18,
168,PW,8e-12,
168,Pass,0,
"Parameters: PW=9p, BLB_Vdd=-250m",,,
169,BLB_Vdd,-250e-3,
169,PW,9e-12,
169,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-237.5m",,,
170,BLB_Vdd,-237.5e-3,
170,PW,9e-12,
170,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-225m",,,
171,BLB_Vdd,-225e-3,
171,PW,9e-12,
171,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-212.5m",,,
172,BLB_Vdd,-212.5e-3,
172,PW,9e-12,
172,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-200m",,,
173,BLB_Vdd,-200e-3,
173,PW,9e-12,
173,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-187.5m",,,
174,BLB_Vdd,-187.5e-3,
174,PW,9e-12,
174,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-175m",,,
175,BLB_Vdd,-175e-3,
175,PW,9e-12,
175,Pass,1,
"Parameters: PW=9p, BLB_Vdd=-162.5m",,,
