Point,Output,Nominal,Pass/Fail
"Parameters: PW=10p, Vdd_col=550m",,,
192,Vdd_col,550e-3,
192,PW,10e-12,
192,Pass,1,
"Parameters: PW=10p, Vdd_col=575m",,,
193,Vdd_col,575e-3,
193,PW,10e-12,
193,Pass,1,
"Parameters: PW=10p, Vdd_col=600m",,,
194,Vdd_col,600e-3,
194,PW,10e-12,
194,Pass,1,
"Parameters: PW=10p, Vdd_col=625m",,,
195,Vdd_col,625e-3,
195,PW,10e-12,
195,Pass,1,
"Parameters: PW=10p, Vdd_col=650m",,,
196,Vdd_col,650e-3,
196,PW,10e-12,
196,Pass,1,
"Parameters: PW=10p, Vdd_col=675m",,,
197,Vdd_col,675e-3,
197,PW,10e-12,
197,Pass,1,
"Parameters: PW=10p, Vdd_col=700m",,,
198,Vdd_col,700e-3,
198,PW,10e-12,
198,Pass,1,
"Parameters: PW=10p, Vdd_col=725m",,,
199,Vdd_col,725e-3,
199,PW,10e-12,
199,Pass,1,
"Parameters: PW=10p, Vdd_col=750m",,,
200,Vdd_col,750e-3,
200,PW,10e-12,
200,Pass,1,
"Parameters: PW=10p, Vdd_col=775m",,,
201,Vdd_col,775e-3,
201,PW,10e-12,
201,Pass,1,
"Parameters: PW=10p, Vdd_col=800m",,,
202,Vdd_col,800e-3,
202,PW,10e-12,
202,Pass,1,
"Parameters: PW=10p, Vdd_col=825m",,,
203,Vdd_col,825e-3,
203,PW,10e-12,
203,Pass,1,
"Parameters: PW=10p, Vdd_col=850m",,,
204,Vdd_col,850e-3,
204,PW,10e-12,
204,Pass,1,
"Parameters: PW=10p, Vdd_col=875m",,,
205,Vdd_col,875e-3,
205,PW,10e-12,
205,Pass,1,
"Parameters: PW=10p, Vdd_col=900m",,,
206,Vdd_col,900e-3,
206,PW,10e-12,
206,Pass,1,
"Parameters: PW=10p, Vdd_col=925m",,,
207,Vdd_col,925e-3,
207,PW,10e-12,
207,Pass,0,
"Parameters: PW=10p, Vdd_col=950m",,,
208,Vdd_col,950e-3,
208,PW,10e-12,
208,Pass,0,
"Parameters: PW=10p, Vdd_col=975m",,,
209,Vdd_col,975e-3,
209,PW,10e-12,
209,Pass,0,
"Parameters: PW=10p, Vdd_col=1",,,
210,Vdd_col,1,
210,PW,10e-12,
210,Pass,0,
"Parameters: PW=11p, Vdd_col=500m",,,
211,Vdd_col,500e-3,
211,PW,11e-12,
211,Pass,1,
"Parameters: PW=11p, Vdd_col=525m",,,
212,Vdd_col,525e-3,
212,PW,11e-12,
212,Pass,1,
"Parameters: PW=11p, Vdd_col=550m",,,
213,Vdd_col,550e-3,
213,PW,11e-12,
213,Pass,1,
"Parameters: PW=11p, Vdd_col=575m",,,
214,Vdd_col,575e-3,
214,PW,11e-12,
214,Pass,1,
"Parameters: PW=11p, Vdd_col=600m",,,
215,Vdd_col,600e-3,
215,PW,11e-12,
215,Pass,1,
"Parameters: PW=11p, Vdd_col=625m",,,
216,Vdd_col,625e-3,
216,PW,11e-12,
216,Pass,1,
"Parameters: PW=11p, Vdd_col=650m",,,
217,Vdd_col,650e-3,
217,PW,11e-12,
217,Pass,1,
"Parameters: PW=11p, Vdd_col=675m",,,
218,Vdd_col,675e-3,
218,PW,11e-12,
218,Pass,1,
